P1,P2,P3,X,Y
0.0,1.47,0.51,1.0314678067650556,1.5597920646862375
0.0,1.45,1.31,0.0353919637285804,2.9354450809219492
0.0,1.74,1.6,-0.23841329908317943,3.726955771974919
1.6,0.81,0.0,-0.03641307652543599,-2.1638416569399945
0.97,1.55,0.0,1.9090290737272446,-0.8943342357930317
0.88,0.0,0.45,-1.0563730471475943,-0.24334799385008088
1.13,0.13,0.0,-0.9088934280048725,-1.3435809811066113
0.0,0.45,0.73,-0.9052084497094413,0.7873881927971094
0.0,1.2,0.98,-0.4272260496866421,2.215023746440186
0.89,1.22,0.0,1.1552496453452807,-0.023948457073097625
0.0,0.12,0.57,-0.8248898865930969,0.8890049805294366
1.57,0.0,1.21,-2.826909601978012,-1.0322405447125003
0.0,0.79,0.95,-1.1885211939998825,1.2396442736723332
0.51,0.0,1.13,-2.5285807377478386,1.6339443800908553
0.6,0.0,0.85,-1.9438681317143458,0.6326418452617819
1.25,0.0,1.38,-3.5349806216729527,0.4332332362133571
0.0,1.69,0.0,2.2604762429027234,1.277241150123292
0.58,0.0,0.78,-1.251639598279555,1.1264589173441597
0.0,0.0,0.08,-0.5351646533725171,0.6863119348741191
0.0,1.15,1.47,-2.0071971277781158,3.185791161704932
0.07,0.0,0.65,-1.3368447071878415,1.313239478411213
0.0,0.4,1.42,-2.9578816669269923,2.493576433344856
1.15,0.0,0.55,-1.5059744658799867,0.1352554493717184
0.0,1.44,0.0,1.5078080024245704,1.0866269423081452
0.0,1.04,0.0,0.8914977978873538,1.2382841775757216
0.0,0.06,1.21,-2.2432861494580956,2.098302439243776
0.0,0.14,0.04,-0.7815925381155898,1.2160467880844026
0.49,1.7,0.0,2.493477274326684,0.8016527001518908
0.51,0.0,0.84,-1.112664182060549,1.026036208645985
0.0,0.0,0.82,-1.3718511734341985,1.3453379298380752
0.84,0.0,0.0,-0.5270501684059838,0.12401793645241464
0.0,0.0,1.79,-4.864737788171581,2.758754438453838
0.0,0.67,1.65,-4.7797956721874515,2.877538111757769
0.91,0.25,0.0,-1.028514458153342,-0.0019238808643293817
0.29,1.72,0.0,2.4140797279199577,0.874103777213361
0.0,1.17,1.38,-0.9976307131087427,2.977366010809396
0.0,0.5,1.5,-3.0243302622184163,2.631994784392193
1.35,0.0,0.6,-1.693792475375299,-0.25437004207042513
0.0,1.15,1.03,-0.7545933847833718,2.366064886708847
0.56,0.52,0.0,-0.17104331124816466,0.5020339606129168
1.19,0.0,0.67,-1.539492030494111,-0.4494303267037012
0.5,0.23,0.0,-0.522310710492839,0.14877853248007486
0.53,0.0,0.65,-1.3122333791987237,0.37174929329007217
0.0,0.4,1.47,-3.1904683930118227,2.5559658174170954
1.73,0.0,1.07,-2.513497263837401,-1.9400280943105366
0.63,0.0,0.0,-0.7933812496073624,-0.08580881252957281
0.0,0.81,0.0,0.11493802351192234,0.4305945901690271
0.64,0.0,0.0,-0.317432955400749,-0.11555862221498983
0.0,0.55,0.02,-0.21618545417418938,0.4097731921216531
0.0,0.08,0.0,-0.6358814194230005,0.45306158698190924
