P4,P5,P6,X,Y
0.1,0.0,0.12,-0.31102255143753127,-0.8609709842476259
1.37,1.58,0.0,0.048443107473399326,-0.31643116810288163
0.0,0.26,0.0,-0.3419246769395946,-0.49660983535710645
0.58,0.0,0.87,-0.29001490351272846,-0.9342073567592344
0.0,0.05,1.77,-0.28811056480290387,-0.7525147304554376
1.7,0.0,0.26,0.15107034341977493,-1.1201290335264193
0.83,0.0,0.11,-0.003742746354267225,-0.8338042856371921
0.5,1.71,0.0,0.011996230267303454,-0.25364070333990124
1.69,1.38,0.0,0.10613257525746733,-0.570137596803677
1.2,0.81,0.0,-0.0942574996778199,-0.18950443794552907
1.15,0.0,1.55,-0.17282722013170543,-1.4045479769707925
0.0,0.71,1.3,-0.28300275761249727,-0.6178164731531955
0.27,0.0,1.28,-0.30808692211498323,-0.6275069702360038
1.34,0.0,0.0,0.04329303717895645,-0.7031721886515854
0.0,0.0,0.41,-0.42917459803347435,-0.40711511275556417
1.68,1.31,0.0,0.1761269074587063,-0.640638027239339
0.74,0.41,0.0,-0.06386476697452721,-0.5870669353465292
0.0,0.23,1.64,-0.3604289316380168,-0.7920489866132929
0.0,0.02,0.58,-0.41569011842980397,-0.3122258698264929
0.0,1.31,0.77,-0.33331922930716706,-0.45849403053498744
0.0,0.79,1.52,-0.30413388228964866,-0.5475528275534653
0.0,1.55,1.62,-0.2631989574133844,-0.892182000032676
0.51,0.0,1.48,-0.1700536832464164,-0.9588955230348324
1.38,0.0,1.47,-0.22678010003146198,-1.0826098324105422
0.0,0.54,1.54,-0.25780071430317003,-0.7063761793587153
0.24,0.0,0.0,-0.3726452797644071,-0.5811687874304861
1.77,0.0,0.7,0.17407549892084773,-1.1216494861245738
1.5,0.0,0.0,0.1914244664891056,-0.8182121196406289
0.95,0.0,1.72,-0.202624932938898,-0.9526236136730046
0.0,1.07,0.11,-0.3260671914363481,-0.24175394527835245
1.62,0.18,0.0,0.3296692545985363,-0.6942060083314862
1.25,0.0,0.69,0.012373851518851443,-0.8232549813499548
0.0,1.36,1.76,-0.3708294758181514,-0.9452464417978214
0.0,0.0,0.13,-0.323780755680819,-0.8790111020445399
0.0,1.44,0.8,-0.42768014017198414,-0.3437011789246639
0.0,1.78,0.72,-0.27774730645185286,-0.3490837001705832
0.17,0.0,0.44,-0.3615351377510352,-0.8870610148775272
0.5,0.0,1.32,-0.2250373293843853,-1.1270893951397098
1.62,0.0,1.74,-0.1727140892079482,-1.2106081982048897
1.31,0.71,0.0,0.1344001942052325,-0.5357147168404224
1.09,0.0,0.0,-0.025399822940570818,-0.7598691369257325
0.0,0.71,0.03,-0.12925692471120315,-0.4350553697219076
0.0,0.0,1.46,-0.2585595470436801,-1.0393986782448672
0.0,0.83,0.47,-0.2106390324471707,-0.4865365315756067
1.59,0.56,0.0,0.20261379434294152,-0.780392578924174
0.22,1.07,0.0,-0.15624941063263523,-0.3178067484896516
1.05,0.42,0.0,0.024676704537019423,-0.4986573770131916
0.0,0.0,1.2,-0.3269181477447313,-0.5151779072655058
1.2,0.0,1.27,-0.27284501846759485,-0.9281771680084141
0.09,0.0,0.31,-0.3652651286307739,-0.8900575928875158
0.0,1.14,0.0,-0.28063452305733855,-0.21762781424171232
1.47,0.0,0.01,0.2618190217272774,-0.753348530124634
1.28,0.0,0.63,0.07603573649354203,-1.1411388703048728
1.16,0.0,0.0,0.15249846333530437,-0.8887303503124308
0.4,0.0,0.06,-0.3229624112897765,-0.8029900277631083
0.29,0.0,1.4,-0.21093496724435135,-0.7995953942432312
